,index,property_id,price,bed_no,address,property_type,listed_time,agent,first_station,second_station
18519,293,49037760,600000.0,3.0,"Aliwal Road, Battersea, London SW11",flat,2018-09-14 00:00:00,"Aspire - Battersea, SW11",Clapham Junction,Wandsworth Town
18520,298,49033972,600000.0,2.0,"Town Hall Road, Battersea SW11",flat,2018-09-14 00:00:00,"Featherstone Leigh - Battersea, SW11",Clapham Junction,Queenstown Road (Battersea)
18521,329,44249079,600000.0,1.0,"Primrose Mansions, Prince Of Wales Drive, Battersea, London SW11",flat,2018-09-07 00:00:00,"John D Wood &amp; Co. - Battersea Sales, SW11",Battersea Park,Queenstown Road (Battersea)
18522,567,48188586,599999.0,2.0,"Constance Court, 10 Chatfield Road, Battersea, London SW11",flat,2018-06-29 00:00:00,"James Pendleton, Land, New Homes &amp; Investments Office, SW18",Wandsworth Town,Clapham Junction
18523,29,49516609,599999.0,2.0,"Chatfield Road, London SW11",flat,2018-10-30 00:00:00,"Dexters New Homes - Mayfair, W1K",Wandsworth Town,Clapham Junction
18524,481,48543158,599950.0,1.0,"Prince Of Wales Drive, London SW11",flat,2018-07-27 00:00:00,"Eden Harper, SW11",Battersea Park,Queenstown Road (Battersea)
18525,477,48564552,599950.0,2.0,"Beechmore Road, Battersea SW11",flat,2018-07-30 00:00:00,"Featherstone Leigh - Battersea, SW11",Battersea Park,Queenstown Road (Battersea)
18526,232,49179578,599950.0,1.0,"Lombard Wharf, Battersea, London SW11",flat,2018-09-27 00:00:00,"James Pendleton, Wandsworth Town and Tonsleys Office, SW18",Imperial Wharf,Clapham Junction
18527,362,48914351,599950.0,2.0,"Vicarage Crescent, London SW11",flat,2018-09-03 00:00:00,"Dexters - Battersea, SW11",Imperial Wharf,Clapham Junction
18528,592,48065735,599950.0,2.0,"Battersea Rise, London SW11",flat,2018-06-20 00:00:00,"Dexters - Battersea, SW11",Clapham Junction,Wandsworth Town
18529,958,38829762,599950.0,1.0,"Nine Elms Lane, Nine Elms SW11",flat,2015-10-22 00:00:00,"Foxtons - Battersea, SW11",Pimlico,Vauxhall
